,Shear Strain,Shear Stress
0,0.0,20.0
1,0.0,20.0
2,0.0,20.0
3,0.0001,20.0
4,0.0002,20.0131
5,0.0003,20.0372
6,0.0004,20.0627
7,0.0004,20.0886
8,0.0005,20.1153
9,0.0006,20.1427
10,0.0006,20.1704
11,0.0007,20.1983
12,0.0007,20.2263
13,0.0008,20.2543
14,0.0009,20.2824
15,0.0009,20.3104
16,0.001,20.3384
17,0.001,20.3665
18,0.0011,20.3947
19,0.0011,20.4229
20,0.0012,20.4512
21,0.0012,20.4797
22,0.0013,20.5083
23,0.0013,20.5369
24,0.0014,20.5656
25,0.0014,20.5943
26,0.0014,20.623
27,0.0015,20.6518
28,0.0015,20.6805
29,0.0016,20.7092
30,0.0016,20.7379
31,0.0017,20.7665
32,0.0017,20.7952
33,0.0018,20.8238
34,0.0018,20.8524
35,0.0019,20.881
36,0.0019,20.9096
37,0.002,20.9382
38,0.002,20.9667
39,0.0021,20.9952
40,0.0021,21.0237
41,0.0022,21.0522
42,0.0022,21.0807
43,0.0023,21.1091
44,0.0023,21.1376
45,0.0024,21.166
46,0.0024,21.1944
47,0.0025,21.2227
48,0.0025,21.2511
49,0.0026,21.2794
50,0.0026,21.3077
51,0.0027,21.336
52,0.0027,21.3643
53,0.0027,21.3926
54,0.0028,21.4208
55,0.0028,21.4491
56,0.0029,21.4773
57,0.0029,21.5055
58,0.003,21.5336
59,0.003,21.5618
60,0.0031,21.5899
61,0.0031,21.6181
62,0.0032,21.6462
63,0.0032,21.6742
64,0.0033,21.7023
65,0.0033,21.7303
66,0.0034,21.7584
67,0.0034,21.7864
68,0.0035,21.8144
69,0.0035,21.8423
70,0.0036,21.8703
71,0.0036,21.8982
72,0.0037,21.9262
73,0.0037,21.9541
74,0.0038,21.9819
75,0.0038,22.0098
76,0.0039,22.0376
77,0.0039,22.0655
78,0.004,22.0933
79,0.004,22.1211
80,0.0041,22.1488
81,0.0041,22.1766
82,0.0042,22.2043
83,0.0042,22.2321
84,0.0043,22.2598
85,0.0043,22.2874
86,0.0044,22.3151
87,0.0044,22.3428
88,0.0044,22.3704
89,0.0045,22.398
90,0.0045,22.4256
91,0.0046,22.4532
92,0.0046,22.4807
93,0.0047,22.5083
94,0.0047,22.5358
95,0.0048,22.5633
96,0.0048,22.5908
97,0.0049,22.6183
98,0.0049,22.6457
99,0.005,22.6731
100,0.005,22.7006
101,0.0051,22.728
102,0.0051,22.7553
103,0.0052,22.7827
104,0.0052,22.8101
105,0.0053,22.8374
106,0.0053,22.8647
107,0.0054,22.892
108,0.0054,22.9193
109,0.0055,22.9465
110,0.0055,22.9738
111,0.0056,23.001
112,0.0056,23.0282
113,0.0057,23.0554
114,0.0057,23.0825
115,0.0058,23.1097
116,0.0058,23.1368
117,0.0059,23.1639
118,0.0059,23.191
119,0.006,23.2181
120,0.006,23.2452
121,0.0061,23.2722
122,0.0061,23.2993
123,0.0062,23.3263
124,0.0062,23.3533
125,0.0063,23.3802
126,0.0063,23.4072
127,0.0064,23.4341
128,0.0064,23.4611
129,0.0065,23.488
130,0.0065,23.5149
131,0.0066,23.5417
132,0.0066,23.5686
133,0.0067,23.5954
134,0.0067,23.6223
135,0.0068,23.6491
136,0.0068,23.6758
137,0.0069,23.7026
138,0.0069,23.7294
139,0.007,23.7561
140,0.007,23.7828
141,0.0071,23.8095
142,0.0071,23.8362
143,0.0072,23.8629
144,0.0072,23.8895
145,0.0072,23.9161
146,0.0073,23.9428
147,0.0073,23.9693
148,0.0074,23.9959
149,0.0074,24.0225
150,0.0075,24.049
151,0.0075,24.0756
152,0.0076,24.1021
153,0.0076,24.1286
154,0.0077,24.155
155,0.0077,24.1815
156,0.0078,24.2079
157,0.0078,24.2344
158,0.0079,24.2608
159,0.0079,24.2872
160,0.008,24.3135
161,0.008,24.3399
162,0.0081,24.3662
163,0.0081,24.3926
164,0.0082,24.4189
165,0.0082,24.4452
166,0.0083,24.4714
167,0.0083,24.4977
168,0.0084,24.5239
169,0.0084,24.5501
170,0.0085,24.5763
171,0.0085,24.6025
172,0.0086,24.6287
173,0.0086,24.6549
174,0.0087,24.681
175,0.0087,24.7071
176,0.0088,24.7332
177,0.0088,24.7593
178,0.0089,24.7854
179,0.0089,24.8114
180,0.009,24.8375
181,0.009,24.8635
182,0.0091,24.8895
183,0.0091,24.9155
184,0.0092,24.9414
185,0.0092,24.9674
186,0.0093,24.9933
187,0.0093,25.0193
188,0.0094,25.0452
189,0.0094,25.071
190,0.0095,25.0969
191,0.0095,25.1228
192,0.0096,25.1486
193,0.0096,25.1744
194,0.0097,25.2002
195,0.0097,25.226
196,0.0098,25.2518
197,0.0098,25.2775
198,0.0099,25.3033
199,0.0099,25.329
200,0.01,25.3547
201,0.01,25.3804
202,0.0101,25.406
203,0.0101,25.4317
204,0.0102,25.4573
205,0.0102,25.483
206,0.0103,25.5086
207,0.0103,25.5341
208,0.0104,25.5597
209,0.0104,25.5853
210,0.0105,25.6108
211,0.0105,25.6363
212,0.0106,25.6618
213,0.0106,25.6873
214,0.0107,25.7128
215,0.0107,25.7383
216,0.0108,25.7637
217,0.0108,25.7891
218,0.0109,25.8145
219,0.0109,25.8399
220,0.011,25.8653
221,0.011,25.8907
222,0.0111,25.916
223,0.0111,25.9413
224,0.0112,25.9666
225,0.0112,25.9919
226,0.0113,26.0172
227,0.0113,26.0425
228,0.0114,26.0677
229,0.0114,26.0929
230,0.0115,26.1182
231,0.0115,26.1434
232,0.0116,26.1685
233,0.0116,26.1937
234,0.0117,26.2188
235,0.0117,26.244
236,0.0118,26.2691
237,0.0118,26.2942
238,0.0119,26.3193
239,0.0119,26.3443
240,0.012,26.3694
241,0.012,26.3944
242,0.0121,26.4194
243,0.0121,26.4445
244,0.0122,26.4694
245,0.0122,26.4944
246,0.0123,26.5194
247,0.0124,26.5443
248,0.0124,26.5692
249,0.0125,26.5941
250,0.0125,26.619
251,0.0126,26.6439
252,0.0126,26.6688
253,0.0127,26.6936
254,0.0127,26.7184
255,0.0128,26.7432
256,0.0128,26.768
257,0.0129,26.7928
258,0.0129,26.8176
259,0.013,26.8423
260,0.013,26.8671
261,0.0131,26.8918
262,0.0131,26.9165
263,0.0132,26.9412
264,0.0132,26.9658
265,0.0133,26.9905
266,0.0133,27.0151
267,0.0134,27.0397
268,0.0134,27.0644
269,0.0135,27.0889
270,0.0135,27.1135
271,0.0136,27.1381
272,0.0136,27.1626
273,0.0137,27.1871
274,0.0137,27.2117
275,0.0138,27.2362
276,0.0138,27.2606
277,0.0139,27.2851
278,0.0139,27.3095
279,0.014,27.334
280,0.014,27.3584
281,0.0141,27.3828
282,0.0141,27.4072
283,0.0142,27.4316
284,0.0142,27.4559
285,0.0143,27.4803
286,0.0143,27.5046
287,0.0144,27.5289
288,0.0144,27.5532
289,0.0145,27.5775
290,0.0145,27.6017
291,0.0146,27.626
292,0.0146,27.6502
293,0.0147,27.6744
294,0.0147,27.6986
295,0.0148,27.7228
296,0.0148,27.747
297,0.0149,27.7711
298,0.0149,27.7953
299,0.015,27.8194
300,0.015,27.8435
301,0.0151,27.8676
302,0.0151,27.8917
303,0.0152,27.9157
304,0.0152,27.9398
305,0.0153,27.9638
306,0.0154,27.9878
307,0.0154,28.0118
308,0.0155,28.0358
309,0.0155,28.0598
310,0.0156,28.0837
311,0.0156,28.1077
312,0.0157,28.1316
313,0.0157,28.1555
314,0.0158,28.1794
315,0.0158,28.2033
316,0.0159,28.2271
317,0.0159,28.251
318,0.016,28.2748
319,0.016,28.2986
320,0.0161,28.3224
321,0.0161,28.3462
322,0.0162,28.37
323,0.0162,28.3937
324,0.0163,28.4175
325,0.0163,28.4412
326,0.0164,28.4649
327,0.0164,28.4886
328,0.0165,28.5123
329,0.0165,28.536
330,0.0166,28.5596
331,0.0166,28.5832
332,0.0167,28.6069
333,0.0167,28.6305
334,0.0168,28.6541
335,0.0168,28.6776
336,0.0169,28.7012
337,0.0169,28.7247
338,0.017,28.7483
339,0.017,28.7718
340,0.0171,28.7953
341,0.0171,28.8188
342,0.0172,28.8422
343,0.0173,28.8657
344,0.0173,28.8891
345,0.0174,28.9126
346,0.0174,28.936
347,0.0175,28.9594
348,0.0175,28.9828
349,0.0176,29.0061
350,0.0176,29.0295
351,0.0177,29.0528
352,0.0177,29.0761
353,0.0178,29.0994
354,0.0178,29.1227
355,0.0179,29.146
356,0.0179,29.1693
357,0.018,29.1925
358,0.018,29.2157
359,0.0181,29.239
360,0.0181,29.2622
361,0.0182,29.2854
362,0.0182,29.3085
363,0.0183,29.3317
364,0.0183,29.3548
365,0.0184,29.378
366,0.0184,29.4011
367,0.0185,29.4242
368,0.0185,29.4473
369,0.0186,29.4703
370,0.0186,29.4934
371,0.0187,29.5164
372,0.0187,29.5395
373,0.0188,29.5625
374,0.0189,29.5855
375,0.0189,29.6085
376,0.019,29.6314
377,0.019,29.6544
378,0.0191,29.6773
379,0.0191,29.7002
380,0.0192,29.7232
381,0.0192,29.746
382,0.0193,29.7689
383,0.0193,29.7918
384,0.0194,29.8146
385,0.0194,29.8375
386,0.0195,29.8603
387,0.0195,29.8831
388,0.0196,29.9059
389,0.0196,29.9287
390,0.0197,29.9515
391,0.0197,29.9742
392,0.0198,29.9969
393,0.0198,30.0197
394,0.0199,30.0424
395,0.0199,30.0651
396,0.02,30.0878
397,0.02,30.1104
398,0.0201,30.1331
399,0.0202,30.1557
400,0.0202,30.1783
401,0.0203,30.2009
402,0.0203,30.2235
403,0.0204,30.2461
404,0.0204,30.2687
405,0.0205,30.2912
406,0.0205,30.3138
407,0.0206,30.3363
408,0.0206,30.3588
409,0.0207,30.3813
410,0.0207,30.4038
411,0.0208,30.4262
412,0.0208,30.4487
413,0.0209,30.4711
414,0.0209,30.4935
415,0.021,30.5159
416,0.021,30.5383
417,0.0211,30.5607
418,0.0211,30.5831
419,0.0212,30.6054
420,0.0212,30.6278
421,0.0213,30.6501
422,0.0214,30.6724
423,0.0214,30.6947
424,0.0215,30.717
425,0.0215,30.7392
426,0.0216,30.7615
427,0.0216,30.7837
428,0.0217,30.806
429,0.0217,30.8282
430,0.0218,30.8504
431,0.0218,30.8725
432,0.0219,30.8947
433,0.0219,30.9169
434,0.022,30.939
435,0.022,30.9611
436,0.0221,30.9832
437,0.0221,31.0053
438,0.0222,31.0274
439,0.0222,31.0495
440,0.0223,31.0716
441,0.0223,31.0936
442,0.0224,31.1156
443,0.0225,31.1376
444,0.0225,31.1596
445,0.0226,31.1816
446,0.0226,31.2036
447,0.0227,31.2256
448,0.0227,31.2475
449,0.0228,31.2694
450,0.0228,31.2914
451,0.0229,31.3133
452,0.0229,31.3352
453,0.023,31.357
454,0.023,31.3789
455,0.0231,31.4007
456,0.0231,31.4226
457,0.0232,31.4444
458,0.0232,31.4662
459,0.0233,31.488
460,0.0233,31.5098
461,0.0234,31.5315
462,0.0234,31.5533
463,0.0235,31.575
464,0.0236,31.5968
465,0.0236,31.6185
466,0.0237,31.6402
467,0.0237,31.6619
468,0.0238,31.6835
469,0.0238,31.7052
470,0.0239,31.7268
471,0.0239,31.7485
472,0.024,31.7701
473,0.024,31.7917
474,0.0241,31.8133
475,0.0241,31.8348
476,0.0242,31.8564
477,0.0242,31.878
478,0.0243,31.8995
